#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
101010.pl,silence,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
80percent.social,suspend,false,false,,false
activitypub-proxy.cf,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
adachi.party,suspend,false,false,,false
aethy.com,suspend,false,false,,false
angrytoday.com,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
anon-kenkai.com,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
asteroidm.space,suspend,false,false,,false
bae.st,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
bassam.social,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
berserker.town,suspend,false,false,,false
boks.moe,suspend,false,false,,false
breastmilk.club,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
bungle.online,suspend,false,false,,false
cachapa.xyz,suspend,false,false,,false
calobar.club,suspend,false,false,,false
cannibal.cafe,suspend,false,false,,false
catposter.club,suspend,false,false,,false
cawfee.club,suspend,false,false,,false
childlove.space,suspend,false,false,,false
childlove.su,suspend,false,false,,false
childpawn.shop,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
clew.lol,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
collapsitarian.io,suspend,false,false,,false
comfyboy.club,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
coolsite.win,suspend,false,false,,false
crlf.ninja,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cunnyborea.space,suspend,false,false,,false
cybercriminal.eu,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
decayable.ink,suspend,false,false,,false
declin.eu,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
dingdash.com,suspend,false,false,,false
disqordia.space,silence,false,false,,false
djsumdog.com,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
eientei.org,suspend,false,false,,false
endtimebelievers.com,suspend,false,false,,false
epsilon.social,suspend,false,false,,false
esmailelbob.xyz,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
fbxl.net,suspend,false,false,,false
federated.fun,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
fightthis.net,suspend,false,false,,false
firefaithfellowship.com,suspend,false,false,,false
fluf.club,suspend,false,false,,false
freak.university,suspend,false,false,,false
freeatlantis.com,suspend,false,false,,false
freesoftwareextremist.com,suspend,false,false,,false
freespeech.group,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
freethinkers.lgbt,suspend,false,false,,false
freezepeach.xyz,suspend,false,false,,false
frennet.xyz,suspend,false,false,,false
froth.zone,silence,false,false,,false
gab.ai,suspend,false,false,,false
gab.com,suspend,false,false,,false
gameliberty.club,suspend,false,false,,false
gangstalking.services,suspend,false,false,,false
