#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.moe,suspend,false,false,,false
101010.pl,silence,false,false,,false
13bells.com,suspend,false,false,,false
1611.social,suspend,false,false,,false
5dollah.click,suspend,false,false,,false
activitypub-troll.cf,suspend,false,false,,false
aethy.com,suspend,false,false,,false
annihilation.social,suspend,false,false,,false
asbestos.cafe,suspend,false,false,,false
bae.st,suspend,false,false,,false
banepo.st,suspend,false,false,,false
baraag.net,suspend,false,false,,false
beefyboys.win,suspend,false,false,,false
brighteon.social,suspend,false,false,,false
chudbuds.lol,suspend,false,false,,false
clew.lol,suspend,false,false,,false
clubcyberia.co,suspend,false,false,,false
contrapointsfan.club,suspend,false,false,,false
cum.camp,suspend,false,false,,false
cum.salon,suspend,false,false,,false
cyberstorm.one,suspend,false,false,,false
detroitriotcity.com,suspend,false,false,,false
eatthebugs.social,suspend,false,false,,false
eientei.org,suspend,false,false,,false
eveningzoo.club,suspend,false,false,,false
federated.fun,suspend,false,false,,false
feral.cafe,suspend,false,false,,false
freak.university,suspend,false,false,,false
freespeechextremist.com,suspend,false,false,,false
froth.zone,silence,false,false,,false
gameliberty.club,suspend,false,false,,false
gearlandia.haus,suspend,false,false,,false
genderheretics.xyz,suspend,false,false,,false
geofront.rocks,suspend,false,false,,false
gleasonator.com,suspend,false,false,,false
h5q.net,suspend,false,false,,false
hentai.baby,suspend,false,false,,false
ignorelist.com,suspend,false,false,,false
kiwifarms.cc,suspend,false,false,,false
letsalllovela.in,suspend,false,false,,false
lolison.network,suspend,false,false,,false
lolison.top,suspend,false,false,,false
mapsupport.de,suspend,false,false,,false
masochi.st,suspend,false,false,,false
mastertibbles.co.uk,suspend,false,false,,false
mastinator.com,suspend,false,false,,false
merovingian.club,suspend,false,false,,false
mirr0r.city,suspend,false,false,,false
mostr.pub,suspend,false,false,,false
mugicha.club,suspend,false,false,,false
nicecrew.digital,suspend,false,false,,false
nnia.space,suspend,false,false,,false
noagendasocial.com,suspend,false,false,,false
obo.sh,suspend,false,false,,false
outpoa.st,suspend,false,false,,false
pawoo.net,suspend,false,false,,false
pedo.school,suspend,false,false,,false
pibvt.net,suspend,false,false,,false
pieville.net,suspend,false,false,,false
poa.st,suspend,false,false,,false
poster.place,suspend,false,false,,false
poweredbycocaine.com,suspend,false,false,,false
qoto.org,silence,false,false,,false
quanta.wiki,suspend,false,false,,false
rcsocial.net,silence,false,false,,false
repl.co,suspend,false,false,,false
republic.red,suspend,false,false,,false
rojogato.com,suspend,false,false,,false
rot.gives,suspend,false,false,,false
ryona.agency,suspend,false,false,,false
scots.network,suspend,false,false,,false
seal.cafe,suspend,false,false,,false
shitpost.cloud,suspend,false,false,,false
shitposter.club,suspend,false,false,,false
shota.house,suspend,false,false,,false
sleepy.cafe,suspend,false,false,,false
sneed.social,suspend,false,false,,false
spinster.xyz,suspend,false,false,,false
springbo.cc,suspend,false,false,,false
truthsocial.co.in,suspend,false,false,,false
varishangout.net,suspend,false,false,,false
wolfgirl.bar,suspend,false,false,,false
yggdrasil.social,suspend,false,false,,false
youjo.love,suspend,false,false,,false
