domain,severity,public_comment,reject_media,reject_reports,obfuscate
hentai.baby,suspend,,True,True,False
mastodon.eunomia.social,suspend,,True,True,False
childpawn.shop,suspend,,True,True,False
freak.university,suspend,,True,True,False
fr13nd5.com,suspend,,True,True,False
youjo.love,suspend,,True,True,False
pawoo.net,suspend,,True,True,False
baraag.net,silence,,False,False,False
sinblr.com,silence,,False,False,False
twimblr.xyz,silence,,False,False,False
varishangout.net,silence,,False,False,False
